kernel,cycles,instr,data,loaduse,flags,sp,muldiv,brflush,ifmiss,memwait,cpi
alu,10000098,3000016,1600003,0,0,0,0,200001,6000181,281,3.3333
mem_stream,11950363,1835052,4478216,3953917,262144,0,0,262141,5244002,4609860,6.5123
ptr_chase,12267427,1600017,7667060,6867057,200000,0,0,200001,4000608,6667475,7.6671
branchy,61375203,13906041,5500003,0,500000,0,0,1593976,45000428,139,4.4136
calls_fib,63250717,8227666,3085371,2571140,0,4628053,0,1542687,33939383,23140855,7.6876
muldiv,2508302,600016,254093,0,50000,0,358180,50001,1500269,143,4.1804
