kernel,cpi_milli,cycles,instr,data,loaduse,flags,sp,muldiv,brflush,ifmiss,memwait
alu,2375,19000552,8000022,4000022,16,0,15,0,500001,7502030,701
mem_stream,5169,9485639,1835070,2053735,1791576,131072,47,0,262144,3546340,4107864
ptr_chase,4565,11870691,2600021,7270057,6070051,0,48,0,200001,2401844,5870981
branchy,2374,34874497,14687112,6500024,16,0,8,0,875245,18187671,264
calls_fib,4000,67879993,16969566,2056937,16,1028457,8741909,0,2056915,24683627,20570829
muldiv,2677,2008415,750019,354114,16,0,18,358180,50001,900505,232
