kernel,cpi_milli,cycles,instr,data,loaduse,flags,sp,muldiv,brflush,ifmiss,memwait
alu,2000,16000475,8000023,4000017,17,0,31,0,500001,3501727,553
mem_stream,3895,7657646,1966153,3512843,3250688,131071,76,0,262144,1442713,3594137
ptr_chase,4309,11202328,2600021,6201846,5601841,0,109,0,200001,2200569,5402409
branchy,2115,31061671,14687111,7000064,62,499999,16,0,875245,9874670,208
calls_fib,3412,59651737,17483794,5142355,62,514228,10799443,0,2056915,14398877,17999100
muldiv,2011,1508450,750021,50067,62,50000,14,358180,50001,500358,207
