kernel,cpi_milli,cycles,instr,data,loaduse,flags,sp,muldiv,brflush,ifmiss,memwait
alu,2313,18500549,8000023,3000019,17,0,60,0,500001,7502018,761
mem_stream,4395,8640360,1966153,4182936,3920786,0,48,0,262144,2622557,4183617
ptr_chase,4940,12845383,2600021,400018,17,0,93,0,200001,4400623,5845591
branchy,2528,37124013,14687111,4875260,17,0,17,0,875245,20437069,231
calls_fib,3677,64280467,17483794,5657278,17,0,11313049,0,2056915,20055458,20570940
muldiv,2478,1858461,750021,18,17,50000,16,358180,50001,850438,230
