kernel,cpi_milli,cycles,instr,data,loaduse,flags,sp,muldiv,brflush,ifmiss,memwait
alu,2000,16000564,8000023,3500018,17,0,60,0,500001,4502045,780
mem_stream,4233,8321963,1966153,4126727,3864571,0,48,0,262144,2098199,4127392
ptr_chase,4637,12056072,2600021,400044,37,0,93,0,200001,3200573,5856288
branchy,2243,32936930,14687111,5875285,37,0,17,0,875245,14749937,231
calls_fib,3588,62737775,17483794,5657304,37,1028456,11313049,0,2056915,15941584,20570930
muldiv,2278,1708461,750021,44,37,50000,16,358180,50001,600388,230
