kernel,cpi_milli,cycles,instr,data,loaduse,flags,sp,muldiv,brflush,ifmiss,memwait
alu,2000,16000477,8000023,3500018,17,0,61,0,500001,4501650,695
mem_stream,4033,7931179,1966153,3525533,3263377,0,54,0,262144,2098073,3736689
ptr_chase,4462,11601959,2600021,400044,37,0,83,0,200001,3200529,5402171
branchy,2242,32936913,14687111,5875285,37,0,17,0,875245,14749920,231
calls_fib,3588,62737621,17483794,5657232,37,1028456,11313049,0,2056915,15941575,20570783
muldiv,2277,1708451,750021,44,37,50000,16,358180,50001,600378,230
