kernel,cpi_milli,cycles,instr,data,loaduse,flags,sp,muldiv,brflush,ifmiss,memwait
alu,3937,31500534,8000022,4000137,135,0,64,0,500001,20001930,1157
mem_stream,7315,13424378,1835070,2582398,2320239,131073,51,0,262144,7211287,5297878
ptr_chase,5867,15255701,2600021,1200109,107,0,48,0,200001,6001685,6256290
branchy,4255,62499153,14687112,6500047,45,0,10,0,875245,45312458,425
calls_fib,6242,105932886,16969566,2571188,45,514229,10798859,0,2056915,61708900,33426765
muldiv,4211,3158370,750019,304137,45,0,21,358180,50001,2250660,393
