kernel,cpi_milli,cycles,instr,data,loaduse,flags,sp,muldiv,brflush,ifmiss,memwait
alu,2313,18500549,8000021,3000019,17,0,60,0,500001,7502039,806
mem_stream,5028,9885863,1966141,2074600,1812454,0,46,0,262144,3802315,4118572
ptr_chase,4171,10845805,2600020,6445211,6045209,200000,92,0,200001,2200872,5846104
branchy,2528,37124017,14687111,4875260,17,0,17,0,875245,20437141,239
calls_fib,3849,65308913,16969565,3085390,17,0,11313049,0,2056915,24169339,20570935
muldiv,2478,1858418,750018,18,17,50000,16,358180,50001,850447,240
