kernel,cpi_milli,cycles,instr,data,loaduse,flags,sp,muldiv,brflush,ifmiss,memwait
alu,2000,16000479,8000023,3500018,17,0,35,0,500001,4501705,534
mem_stream,3968,7801752,1966153,3525840,3263684,0,76,0,262144,2098102,3607146
ptr_chase,4462,11601642,2600021,400044,37,0,109,0,200001,3200584,5401716
branchy,2242,32936909,14687111,5875285,37,0,16,0,875245,14749920,208
calls_fib,3441,60165965,17483794,5142331,37,1028456,10799443,0,2056915,15941583,17999096
muldiv,2277,1708460,750021,44,37,50000,14,358180,50001,600389,207
