kernel,cpi_milli,cycles,instr,data,loaduse,flags,sp,muldiv,brflush,ifmiss,memwait
alu,2208,19876088,9000028,5375023,16,0,15,0,125001,7377548,746
mem_stream,6673,6779430,1015845,3716815,3307663,8192,45,0,65530,1736947,4142980
ptr_chase,6639,9296048,1400021,6795186,6045180,0,47,0,50001,1501948,5846265
branchy,2606,33335172,12788633,5000265,16,0,16,0,851766,19546823,227
calls_fib,4080,80875529,19821179,3122982,16,514229,8742096,0,2007285,37024875,24684945
muldiv,2850,1033424,362519,393565,16,12500,10,358180,12501,263127,232
