kernel,cpi_milli,cycles,instr,data,loaduse,flags,sp,muldiv,brflush,ifmiss,memwait
alu,1938,15500488,8000023,4000017,17,0,31,0,500001,3001716,530
mem_stream,3895,7657740,1966153,3512937,3250782,131071,76,0,262144,1311622,3594236
ptr_chase,4232,11003410,2600021,6202928,5602923,0,109,0,200001,2000552,5403489
branchy,2047,30061670,14687111,7000065,62,499999,16,0,875245,8874652,208
calls_fib,3412,59651734,17483794,5142355,62,1028456,10799445,0,2056915,13370405,17999097
muldiv,2011,1508451,750021,50067,62,50000,14,358180,50001,450344,207
