kernel,cpi_milli,cycles,instr,data,loaduse,flags,sp,muldiv,brflush,ifmiss,memwait
alu,1938,15500478,8000023,4000017,17,0,31,0,500001,3001706,530
mem_stream,3895,7657593,1966153,3512791,3250636,131071,76,0,262144,1311621,3594090
ptr_chase,4232,11003410,2600021,6202928,5602923,0,109,0,200001,2000552,5403489
branchy,2047,30061670,14687111,7000065,62,499999,16,0,875245,8874652,208
calls_fib,3382,59137535,17483794,5142355,62,1028456,10799443,0,2056915,12856184,17999119
muldiv,2011,1508448,750021,50067,62,50000,14,358180,50001,450341,207
